 INDICATIVO;ANO;MES;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Z_estacion1;1972;1;0;50;65;0;0;60;10;0;113;0;0;80;0;0;210;225;110;100;0;0;0;0;0;0;0;0;0;0;0;0;50
Z_estacion1;1972;2;100;0;15;110;150;150;15;0;0;135;0;50;0;0;0;0;0;0;0;160;75;0;0;0;0;0;40;0;0;;
Z_estacion1;1972;3;30;0;0;0;200;165;40;0;105;0;0;210;0;0;190;0;50;0;50;90;0;0;0;70;0;0;0;0;0;40;0
Z_estacion1;1972;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;100;0;0;0;
Z_estacion1;1972;5;240;50;200;0;100;200;0;20;0;0;0;0;0;0;70;80;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X_estacion2;1972;1;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;360;0;0;0;0;0;0;0;0;0;
X_estacion2;1972;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
X_estacion2;1972;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X_estacion2;1972;4;0;0;0;80;20;100;190;0;0;0;0;0;0;0;100;0;0;0;0;0;0;135;0;0;0;45;51;0;0;0;
X_estacion2;1972;5;0;0;0;0;0;80;30;0;0;0;80;121;82;0;0;0;242;37;100;378;0;0;0;0;0;70;107;0;0;0;0
